"","Name","score2014"
"1","Pentland Hills Regional Park      ",75
"2","Easter Craiglockhart Hill      ",76
"3","Ferniehill      ",70
"4","Prestonfield War Memorial Garden    ",70
"5","Figgate Burn Park     ",72
"6","Harrison Park      ",73
"7","Prestonfield Park     ",66
"8","Princes Street Gardens        ",70
"9","Starbank Park    ",63
"10","Cammo Estate    ",68
"11","Corstorphine Hill    ",74
"12","HoBinc Blackford Hill     ",78
"13","Hopetoun Crescent Garden       ",72
"14","Seven Acre Park     ",70
"15","Dunbars Close Garden       ",72
"16","Inverleith Park    ",69
"17","Ravelston Park    ",73
"18","Rocheid Path    ",66
"19","Rosefield Park     ",68
"20","St Margarets Park    ",70
"21","Abercorn Park     ",70
"22","Bauks View     ",65
"23","Colinton  Clockhart Dells      ",71
"24","Morningside Park     ",72
"25","Muir Wood Park      ",67
"26","St Katharines     ",68
"27","The Meadows and BLeith Links     ",71
"28","Hailes Quarry Park      ",67
"29","Lochend Park     ",67
"30","Station Road Pk    ",66
"31","Victoria Park City Park    ",67
"32","Braidburn Valley Park     ",69
"33","Cmillar Castle Park inc Hkhill     ",71
"34","Davidsons Mains Park City Park West    ",65
"35","Inch Park City Park    ",65
"36","King George V Park Eyre Pl City Park    ",65
"37","London Road Gardens City Park       ",61
"38","Portobello Comm Garden     ",72
"39","Ravelston Woods    ",72
"40","Cramond Foreshore    ",68
"41","Deaconess Garden    ",67
"42","Drum Park     ",60
"43","Lauriston Castle Garden West    ",58
"44","Liberton Park     ",64
"45","Morgan Playing Fields Recreation Ground    ",64
"46","Nicholson Square Garden    ",68
"47","Burdiehouse Burn Valley     ",63
"48","Meadows Yard     ",65
"49","Montgomery Street Park        ",62
"50","Spylaw Park      ",62
"51","Bloomiehall Park      ",68
"52","Braid Hills inc golf courses     ",60
"53","Gyle Park City Park West    ",61
"54","Roseburn Park City Park West    ",65
"55","Saughton Park      ",62
"56","St Patricks Square Garden    ",57
"57","Gardners Crescent Garden     ",59
"58","Meadowfield Park     ",67
"59","Murieston Park      ",62
"60","Newcraighall Park     ",55
"61","Orchard Brae Park    ",62
"62","Brighton Park     ",61
"63","Dalmeny Street Park        ",64
"64","Ratho Park      ",60
"65","River Almond Walkway    ",61
"66","Allison Park Kirkliston    ",60
"67","Brunstane Mill     ",61
"68","Gypsy Brae Rec Ground City Park    ",56
"69","Inchcolm Park S Queensferry    ",60
"70","Campbell Park      ",54
"71","Fairmilehead Park      ",57
"72","Gracemount Comm Park     ",54
"73","Mortonhall      ",60
"74","Regent Road Park        ",60
"75","Sir Harry Lauder Garden    ",64
"76","Straiton Place Park     ",58
"77","Balgreen Park    ",56
"78","Calton Hill        ",63
"79","Clermiston Park    ",56
"80","Fauldburn Park    ",60
"81","Ferry Glen  Back Braes    ",56
"82","Leith Links        ",60
"83","Moredun Park     ",54
"84","Buttercup Farm Park    ",NA
"85","Colinton Mains Park City Park     ",60
"86","Drumbrae Park    ",56
"87","Pentland View Park      ",54
"88","Ratho Station Park    ",53
"89","Redhall Park      ",54
"90","Cramond Walled Garden West    ",55
"91","East Pilton Park    ",55
"92","Glendevon Park    ",58
"93","King George V Park Currie      ",56
"94","King George V Park SQ    ",53
"95","Union Park City Park West    ",50
"96","Blinkbonny Park      ",55
"97","Haugh Park    ",60
"98","Sighthill Park      ",56
"99","White Park      ",57
"100","Fernieside Rec Ground Recreation Ground    ",53
"101","Joppa Quarry Park     ",55
"102","Magdalene Glen     ",56
"103","Silverknowes Park Recreation Ground    ",52
"104","Baronscourt Park     ",50
"105","Dundas Park S Queensferry    ",52
"106","Granton Crescent Park    ",60
"107","Paties Road Rec Ground City Park     ",50
"108","Pikes Pool    ",42
"109","Riverside Park    ",55
"110","Whinhill Park      ",51
"111","Hillside Crescent Garden       ",53
"112","Hunters Hall Park JKC City Park    ",48
"113","Marchbank Park      ",55
"114","Muirhouse Linear Park    ",52
"115","Pilrig Park        ",57
"116","Redbraes Park        ",59
"117","Easter Drylaw Park    ",59
"118","Jewel Park     ",55
"119","Redford Wood      ",51
"120","Taylor Garden       ",55
"121","Dovecot Park      ",53
"122","GorgieDalry Comm Park      ",45
"123","Grannys Green Garden       ",49
"124","St Marks Park        ",56
"125","West Pilton Park    ",53
"126","Gayfield Square Garden       ",51
"127","Keddie Park        ",44
"128","Stenhouse Place Park      ",43
"129","Bingham Park     ",50
"130","Malleny Park Recreation Ground     ",47
"131","Meadowspot Park      ",48
"132","Cairntows Park     ",46
"133","Parkside Newbridge    ",55
"134","Ratho Station Rec Ground Recreation Ground West    ",48
"135","Seafield Recreation Ground Recreation Ground    ",48
"136","Henderson Gardens Park        ",48
"137","Bellevue Crescent Garden       ",40
"138","Hays Park     ",43
